,0
183,34104.71298155389
184,33923.24823033855
185,34858.02409326346
186,34183.75669139169
187,32867.67786006955
188,31763.246800324316
189,32416.203476645398
190,33234.59535486954
191,34046.859048957056
192,33750.621544464
193,33181.24174138896
194,32530.957659075568
195,29942.05665261032
196,30364.435099276718
197,29479.41772851619
198,28837.49115912121
199,28944.725075267037
200,28942.984549757974
201,29978.188238302482
202,30830.96211114694
203,31127.516424961144
204,30557.41413067531
205,29865.636334256444
206,29188.10664409979
207,28197.288242370094
208,27551.91020099522
209,26274.19208456582
210,26394.398344804238
211,25842.318490184396
212,25320.24803029302
213,24904.98217008557
214,25691.841990841553
215,26410.63566547511
216,27423.352891966926
217,27075.179728494513
218,27529.786867771018
219,28276.393644652966
220,29013.09033921349
221,29388.1826895162
222,29958.965655243723
223,30801.181218340418
224,30531.40413745178
225,31233.170683238528
226,30602.608524174324
227,31507.480613033535
228,32073.27204133886
229,32636.217062761356
230,34193.3189031718
231,34422.76748068566
232,34332.601267876
233,33994.61321929811
234,32954.456166756696
235,33194.68493929194
236,33018.06227580733
237,33927.89518586379
238,33271.619498040985
239,31990.658060698323
240,30915.696923062005
241,31551.23052691344
242,32347.78496703493
243,33138.3747435108
244,32850.041848459965
245,32295.855006773472
246,31662.922683164565
247,29143.10223209932
248,29554.210206232456
249,28692.808065006822
250,28068.010247861956
251,28172.38280373693
252,28170.688721281716
253,29178.26970599236
254,30008.288713888487
255,30296.929964726012
256,29742.0399103156
257,29068.721063957273
258,28409.270136634394
259,27444.890090531706
260,26816.73289824677
261,25573.108583359874
262,25690.107337711004
263,25152.758823875167
264,24644.618953541743
265,24240.433778223418
266,25006.297541847816
267,25705.91139224797
268,26691.605929075522
269,26352.723192486166
270,26795.199889698026
271,27521.884695564626
272,28238.923853319182
273,28604.007482616147
274,29159.56004587295
275,29979.302475110933
276,29716.723950882224
277,30399.765013298602
278,29786.02836592975
279,30666.755434833285
280,31217.449651615152
281,31765.373413189398
282,33280.92655796362
283,33504.25267844617
284,33416.49240238096
285,33087.523007685944
286,32075.120831330732
